"Symbol","Security","SEC filings","GICS Sector","GICS Sub-Industry","Headquarters Location","Date added","CIK","Founded","date"
"EQT","EQT","reports","Energy","Oil & Gas Exploration & Production","Pittsburgh, Pennsylvania","2022-10-03",33213,"1888",2023-01-13
"EFX","Equifax","reports","Industrials","Research & Consulting Services","Atlanta, Georgia","1997-06-19",33185,"1899",2023-01-13
"EQIX","Equinix","reports","Real Estate","Specialized REITs","Redwood City, California","2015-03-20",1101239,"1998",2023-01-13
"EQR","Equity Residential","reports","Real Estate","Residential REITs","Chicago, Illinois","2001-12-03",906107,"1969",2023-01-13
"ESS","Essex Property Trust","reports","Real Estate","Residential REITs","San Mateo, California","2014-04-02",920522,"1971",2023-01-13
"EL","The Estée Lauder Companies","reports","Consumer Staples","Personal Products","New York City, New York","2006-01-05",1001250,"1946",2023-01-13
"ETSY","Etsy","reports","Consumer Discretionary","Internet & Direct Marketing Retail","New York City, New York","2020-09-21",1370637,"2005",2023-01-13
"RE","Everest Re","reports","Financials","Reinsurance","Hamilton, Bermuda","2017-06-19",1095073,"1973",2023-01-13
"EVRG","Evergy","reports","Utilities","Electric Utilities","Kansas City, Missouri","2018-06-05",1711269,"1909",2023-01-13
"ES","Eversource","reports","Utilities","Multi-Utilities","Hartford, Connecticut","2009",72741,"1966",2023-01-13
"EXC","Exelon","reports","Utilities","Multi-Utilities","Chicago, Illinois","1957-03-04",1109357,"2000",2023-01-13
"EXPE","Expedia Group","reports","Consumer Discretionary","Internet & Direct Marketing Retail","Seattle, Washington","2007-10-02",1324424,"1996",2023-01-13
"EXPD","Expeditors International","reports","Industrials","Air Freight & Logistics","Seattle, Washington","2007-10-10",746515,"1979",2023-01-13
"EXR","Extra Space Storage","reports","Real Estate","Specialized REITs","Salt Lake City, Utah","2016-01-19",1289490,"1977",2023-01-13
"XOM","ExxonMobil","reports","Energy","Integrated Oil & Gas","Irving, Texas","1957-03-04",34088,"1999",2023-01-13
"FFIV","F5, Inc.","reports","Information Technology","Communications Equipment","Seattle, Washington","2010-12-20",1048695,"1996",2023-01-13
"FDS","FactSet","reports","Financials","Financial Exchanges & Data","Norwalk, Connecticut","2021-12-20",1013237,"1978",2023-01-13
"FAST","Fastenal","reports","Industrials","Building Products","Winona, Minnesota","2008-09-15",815556,"1967",2023-01-13
"FRT","Federal Realty","reports","Real Estate","Retail REITs","Rockville, Maryland","2016-02-01",34903,"1962",2023-01-13
"FDX","FedEx","reports","Industrials","Air Freight & Logistics","Memphis, Tennessee","1980-12-31",1048911,"1971",2023-01-13
"FITB","Fifth Third Bank","reports","Financials","Regional Banks","Cincinnati, Ohio","",35527,"1858",2023-01-13
"FRC","First Republic Bank","reports","Financials","Regional Banks","San Francisco, California","2019-01-02",1132979,"1985",2023-01-13
"FSLR","First Solar","reports","Information Technology","Semiconductors","Tempe, Arizona","2022-12-19",1274494,"1999",2023-01-13
"FE","FirstEnergy","reports","Utilities","Electric Utilities","Akron, Ohio","",1031296,"1997",2023-01-13
"FIS","FIS","reports","Information Technology","Data Processing & Outsourced Services","Jacksonville, Florida","2006-11-10",1136893,"1968",2023-01-13
"FISV","Fiserv","reports","Information Technology","Data Processing & Outsourced Services","Brookfield, Wisconsin","2001-04-02",798354,"1984",2023-01-13
"FLT","Fleetcor","reports","Information Technology","Data Processing & Outsourced Services","Atlanta, Georgia","2018-06-20",1175454,"2000",2023-01-13
"FMC","FMC Corporation","reports","Materials","Fertilizers & Agricultural Chemicals","Philadelphia, Pennsylvania","2009-08-19",37785,"1883",2023-01-13
"F","Ford Motor Company","reports","Consumer Discretionary","Automobile Manufacturers","Dearborn, Michigan","1957-03-04",37996,"1903",2023-01-13
"FTNT","Fortinet","reports","Information Technology","Systems Software","Sunnyvale, California","2018-10-11",1262039,"2000",2023-01-13
"FTV","Fortive","reports","Industrials","Industrial Machinery","Everett, Washington","2016-07-01",1659166,"2016",2023-01-13
"FOXA","Fox Corporation (Class A)","reports","Communication Services","Movies & Entertainment","New York City, New York","2013-07-01",1754301,"2019",2023-01-13
"FOX","Fox Corporation (Class B)","reports","Communication Services","Movies & Entertainment","New York City, New York","2015-09-18",1754301,"2019",2023-01-13
"BEN","Franklin Templeton","reports","Financials","Asset Management & Custody Banks","San Mateo, California","",38777,"1947",2023-01-13
"FCX","Freeport-McMoRan","reports","Materials","Copper","Phoenix, Arizona","",831259,"1912",2023-01-13
"GRMN","Garmin","reports","Consumer Discretionary","Consumer Electronics","Schaffhausen, Switzerland","2012-12-12",1121788,"1989",2023-01-13
"IT","Gartner","reports","Information Technology","IT Consulting & Other Services","Stamford, Connecticut","2017-04-05",749251,"1979",2023-01-13
"GEHC","GE HealthCare","reports","Health Care","Health Care Technology","Chicago, Illinois","2023-01-04",1932393,"1994",2023-01-13
"GEN","Gen Digital","reports","Information Technology","Application Software","Tempe, Arizona","2003-03-25",849399,"1982",2023-01-13
"GNRC","Generac","reports","Industrials","Electrical Components & Equipment","Waukesha, Wisconsin","2021-03-22",1474735,"1959",2023-01-13
"GD","General Dynamics","reports","Industrials","Aerospace & Defense","Falls Church, Virginia","1957-03-04",40533,"1899",2023-01-13
"GE","General Electric","reports","Industrials","Industrial Conglomerates","Boston, Massachusetts","",40545,"1892",2023-01-13
"GIS","General Mills","reports","Consumer Staples","Packaged Foods & Meats","Golden Valley, Minnesota","1969-03-31",40704,"1856",2023-01-13
"GM","General Motors","reports","Consumer Discretionary","Automobile Manufacturers","Detroit, Michigan","2013-06-06",1467858,"1908",2023-01-13
"GPC","Genuine Parts Company","reports","Consumer Discretionary","Specialty Stores","Atlanta, Georgia","1973-12-31",40987,"1925",2023-01-13
"GILD","Gilead Sciences","reports","Health Care","Biotechnology","Foster City, California","2004-07-01",882095,"1987",2023-01-13
"GL","Globe Life","reports","Financials","Life & Health Insurance","McKinney, Texas","1989-04-30",320335,"1900",2023-01-13
"GPN","Global Payments","reports","Information Technology","Data Processing & Outsourced Services","Atlanta, Georgia","2016-04-25",1123360,"2000",2023-01-13
"GS","Goldman Sachs","reports","Financials","Investment Banking & Brokerage","New York City, New York","2002-07-22",886982,"1869",2023-01-13
"HAL","Halliburton","reports","Energy","Oil & Gas Equipment & Services","Houston, Texas","1957-03-04",45012,"1919",2023-01-13
