"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","date"
"CMI","Cummins","Industrials","Construction Machinery & Heavy Transportation Equipment","Columbus, Indiana","1965-03-31","0000026172","1919",,,,,,,,,,2024-02-05
"CVS","CVS Health","Health Care","Health Care Services","Woonsocket, Rhode Island","1957-03-04","0000064803","1996",,,,,,,,,,2024-02-05
"DHR","Danaher Corporation","Health Care","Life Sciences Tools & Services","Washington, D.C.","1998-11-18","0000313616","1969",,,,,,,,,,2024-02-05
"DRI","Darden Restaurants","Consumer Discretionary","Restaurants","Orlando, Florida","1995-05-31","0000940944","1938",,,,,,,,,,2024-02-05
"DVA","DaVita Inc.","Health Care","Health Care Services","Denver, Colorado","2008-07-31","0000927066","1979",,,,,,,,,,2024-02-05
"DAY","Dayforce","Industrials","Human Resource & Employment Services","Minneapolis, Minnesota","2021-09-20","0001725057","1992",,,,,,,,,,2024-02-05
"DE","John Deere","Industrials","Agricultural & Farm Machinery","Moline, Illinois","1957-03-04","0000315189","1837",,,,,,,,,,2024-02-05
"DAL","Delta Air Lines","Industrials","Passenger Airlines","Atlanta, Georgia","2013-09-11","0000027904","1929",,,,,,,,,,2024-02-05
"XRAY","Dentsply Sirona","Health Care","Health Care Supplies","Charlotte, North Carolina","2008-11-14","0000818479","2016 (1969)",,,,,,,,,,2024-02-05
"DVN","Devon Energy","Energy","Oil & Gas Exploration & Production","Oklahoma City, Oklahoma","2000-08-30","0001090012","1971",,,,,,,,,,2024-02-05
"DXCM","Dexcom","Health Care","Health Care Equipment","San Diego, California","2020-05-12","0001093557","1999",,,,,,,,,,2024-02-05
"FANG","Diamondback Energy","Energy","Oil & Gas Exploration & Production","Midland, Texas","2018-12-03","0001539838","2007",,,,,,,,,,2024-02-05
"DLR","Digital Realty","Real Estate","Data Center REITs","Austin, Texas","2016-05-18","0001297996","2004",,,,,,,,,,2024-02-05
"DFS","Discover Financial","Financials","Consumer Finance","Riverwoods, Illinois","2007-07-02","0001393612","1985",,,,,,,,,,2024-02-05
"DG","Dollar General","Consumer Staples","Consumer Staples Merchandise Retail","Goodlettsville, Tennessee","2012-12-03","0000029534","1939",,,,,,,,,,2024-02-05
"DLTR","Dollar Tree","Consumer Staples","Consumer Staples Merchandise Retail","Chesapeake, Virginia","2011-12-19","0000935703","1986",,,,,,,,,,2024-02-05
"D","Dominion Energy","Utilities","Multi-Utilities","Richmond, Virginia","2016-11-30","0000715957","1983",,,,,,,,,,2024-02-05
"DPZ","Domino's","Consumer Discretionary","Restaurants","Ann Arbor, Michigan","2020-05-12","0001286681","1960",,,,,,,,,,2024-02-05
"DOV","Dover Corporation","Industrials","Industrial Machinery & Supplies & Components","Downers Grove, Illinois","1985-10-31","0000029905","1955",,,,,,,,,,2024-02-05
"DOW","Dow Inc.","Materials","Commodity Chemicals","Midland, Michigan","2019-04-01","0001751788","2019 (1897)",,,,,,,,,,2024-02-05
"DHI","DR Horton","Consumer Discretionary","Homebuilding","Arlington, Texas","2005-06-22","0000882184","1978",,,,,,,,,,2024-02-05
"DTE","DTE Energy","Utilities","Multi-Utilities","Detroit, Michigan","1957-03-04","0000936340","1995",,,,,,,,,,2024-02-05
"DUK","Duke Energy","Utilities","Electric Utilities","Charlotte, North Carolina","1976-06-30","0001326160","1904",,,,,,,,,,2024-02-05
"DD","DuPont","Materials","Specialty Chemicals","Wilmington, Delaware","2019-04-02","0001666700","2017 (1802)",,,,,,,,,,2024-02-05
"EMN","Eastman Chemical Company","Materials","Specialty Chemicals","Kingsport, Tennessee","1994-01-01","0000915389","1920",,,,,,,,,,2024-02-05
"ETN","Eaton Corporation","Industrials","Electrical Components & Equipment","Dublin, Ireland","1957-03-04","0001551182","1911",,,,,,,,,,2024-02-05
"EBAY","eBay","Consumer Discretionary","Broadline Retail","San Jose, California","2002-07-22","0001065088","1995",,,,,,,,,,2024-02-05
"ECL","Ecolab","Materials","Specialty Chemicals","Saint Paul, Minnesota","1989-01-31","0000031462","1923",,,,,,,,,,2024-02-05
"EIX","Edison International","Utilities","Electric Utilities","Rosemead, California","1957-03-04","0000827052","1886",,,,,,,,,,2024-02-05
"EW","Edwards Lifesciences","Health Care","Health Care Equipment","Irvine, California","2011-04-01","0001099800","1958",,,,,,,,,,2024-02-05
"EA","Electronic Arts","Communication Services","Interactive Home Entertainment","Redwood City, California","2002-07-22","0000712515","1982",,,,,,,,,,2024-02-05
"ELV","Elevance Health","Health Care","Managed Health Care","Indianapolis, Indiana","2002-07-25","0001156039","2014 (1946)",,,,,,,,,,2024-02-05
"LLY","Eli Lilly and Company","Health Care","Pharmaceuticals","Indianapolis, Indiana","1970-12-31","0000059478","1876",,,,,,,,,,2024-02-05
"EMR","Emerson Electric","Industrials","Electrical Components & Equipment","Ferguson, Missouri","1965-03-31","0000032604","1890",,,,,,,,,,2024-02-05
"ENPH","Enphase","Information Technology","Semiconductor Materials & Equipment","Fremont, California","2021-01-07","0001463101","2006",,,,,,,,,,2024-02-05
"ETR","Entergy","Utilities","Electric Utilities","New Orleans, Louisiana","1957-03-04","0000065984","1913",,,,,,,,,,2024-02-05
"EOG","EOG Resources","Energy","Oil & Gas Exploration & Production","Houston, Texas","2000-11-02","0000821189","1999",,,,,,,,,,2024-02-05
"EPAM","EPAM Systems","Information Technology","IT Consulting & Other Services","Newtown, Pennsylvania","2021-12-14","0001352010","1993",,,,,,,,,,2024-02-05
"EQT","EQT","Energy","Oil & Gas Exploration & Production","Pittsburgh, Pennsylvania","2022-10-03","0000033213","1888",,,,,,,,,,2024-02-05
"EFX","Equifax","Industrials","Research & Consulting Services","Atlanta, Georgia","1997-06-19","0000033185","1899",,,,,,,,,,2024-02-05
"EQIX","Equinix","Real Estate","Data Center REITs","Redwood City, California","2015-03-20","0001101239","1998",,,,,,,,,,2024-02-05
"EQR","Equity Residential","Real Estate","Multi-Family Residential REITs","Chicago, Illinois","2001-12-03","0000906107","1969",,,,,,,,,,2024-02-05
"ESS","Essex Property Trust","Real Estate","Multi-Family Residential REITs","San Mateo, California","2014-04-02","0000920522","1971",,,,,,,,,,2024-02-05
"EL","Estée Lauder Companies (The)","Consumer Staples","Personal Care Products","New York City, New York","2006-01-05","0001001250","1946",,,,,,,,,,2024-02-05
"ETSY","Etsy","Consumer Discretionary","Broadline Retail","New York City, New York","2020-09-21","0001370637","2005",,,,,,,,,,2024-02-05
"EG","Everest Re","Financials","Reinsurance","Hamilton, Bermuda","2017-06-19","0001095073","1973",,,,,,,,,,2024-02-05
"EVRG","Evergy","Utilities","Electric Utilities","Kansas City, Missouri","2018-06-05","0001711269","1909",,,,,,,,,,2024-02-05
"ES","Eversource","Utilities","Electric Utilities","Hartford, Connecticut","2009-07-24","0000072741","1966",,,,,,,,,,2024-02-05
"EXC","Exelon","Utilities","Electric Utilities","Chicago, Illinois","1957-03-04","0001109357","2000",,,,,,,,,,2024-02-05
"EXPE","Expedia Group","Consumer Discretionary","Hotels, Resorts & Cruise Lines","Seattle, Washington","2007-10-02","0001324424","1996",,,,,,,,,,2024-02-05
"EXPD","Expeditors International","Industrials","Air Freight & Logistics","Seattle, Washington","2007-10-10","0000746515","1979",,,,,,,,,,2024-02-05
"EXR","Extra Space Storage","Real Estate","Self-Storage REITs","Salt Lake City, Utah","2016-01-19","0001289490","1977",,,,,,,,,,2024-02-05
"XOM","ExxonMobil","Energy","Integrated Oil & Gas","Irving, Texas","1957-03-04","0000034088","1999",,,,,,,,,,2024-02-05
"FFIV","F5, Inc.","Information Technology","Communications Equipment","Seattle, Washington","2010-12-20","0001048695","1996",,,,,,,,,,2024-02-05
"FDS","FactSet","Financials","Financial Exchanges & Data","Norwalk, Connecticut","2021-12-20","0001013237","1978",,,,,,,,,,2024-02-05
